case_id,time_s,eta_prime_m,incident_eta_prime_m,reflected_eta_prime_m,linear_inlet_velocity_m_per_s,c0_m_per_s
production_lateral,4.64,0.0012137793810838458,2.8159333973496885e-24,0.0012137793810838458,0.0026877266382409975,4.428690551393267
production_lateral,4.65,0.0011791292802266025,2.1133482382979447e-24,0.0011791292802266025,0.002610999351105349,4.428690551393267
production_lateral,4.66,0.0011445336508888058,1.5847663007233991e-24,0.0011445336508888058,0.002534392682721447,4.428690551393267
production_lateral,4.67,0.0011100465262274938,1.1874213760947467e-24,0.0011100465262274938,0.00245802628115531,4.428690551393267
production_lateral,4.68,0.0010757200713567786,8.889758684922985e-25,0.0010757200713567786,0.002382015657980928,4.428690551393267
production_lateral,4.69,0.0010416044719669417,6.649983307761956e-25,0.0010416044719669417,0.002306471941644484,4.428690551393267
production_lateral,4.7,0.0010077478342920426,4.9704603321003665e-25,0.0010077478342920426,0.002231501655958098,4.428690551393267
production_lateral,4.71,0.0009741960965571058,3.7120869729432817e-25,0.0009741960965571058,0.0021572065240133284,4.428690551393267
production_lateral,4.72,0.0009409929519674775,2.770034306714359e-25,0.0009409929519674775,0.0020836832976530127,4.428690551393267
production_lateral,4.73,0.0009081797832359762,2.0653688680260808e-25,0.0009081797832359762,0.0020110236124917763,4.428690551393267
production_lateral,4.74,0.000875795608578945,1.5387057582262015e-25,0.000875795608578945,0.0019393138683326447,4.428690551393267
production_lateral,4.75,0.0008438770390501549,1.1454048177105457e-25,0.0008438770390501549,0.0018686351346895737,4.428690551393267
production_lateral,4.76,0.0008124582470225634,8.519378348055232e-26,0.0008124582470225634,0.0017990630809951815,4.428690551393267
production_lateral,4.7700000000000005,0.0007815709455719914,6.33143685710019e-26,0.0007815709455719914,0.0017306679309490895,4.428690551393267
production_lateral,4.78,0.0007512443784646293,4.701561573500236e-26,0.0007512443784646293,0.0016635144403468055,4.428690551393267
production_lateral,4.79,0.0007215053204017748,3.488409416902326e-26,0.0007215053204017748,0.0015976618976216556,4.428690551393267
production_lateral,4.8,0.0006923780871308816,2.5861770064319387e-26,0.0006923780871308816,0.0015331641462341397,4.428690551393267
production_lateral,4.8100000000000005,0.0006638845549916876,1.9157309511864363e-26,0.0006638845549916876,0.0014700696279538051,4.428690551393267
production_lateral,4.82,0.0006360441894303513,1.4179347940510512e-26,0.0006360441894303513,0.0014084214459993928,4.428690551393267
production_lateral,4.83,0.0006088740819829632,1.0486328950643086e-26,0.0006088740819829632,0.001348257446933099,4.428690551393267
production_lateral,4.84,0.0005823889952028406,7.748830634488874e-27,0.0005823889952028406,0.0012896103201451192,4.428690551393267
production_lateral,4.8500000000000005,0.000556601414983359,5.721294903877311e-27,0.000556601414983359,0.0012325077137144622,4.428690551393267
production_lateral,4.86,0.0005315216097100139,4.2208310945625896e-27,0.0005315216097100139,0.001176972365392039,4.428690551393267
production_lateral,4.87,0.0005071576956616051,3.1113372350588883e-27,0.0005071576956616051,0.0011230222474214661,4.428690551393267
production_lateral,4.88,0.0004835157080710824,2.2916150907184245e-27,0.0004835157080710824,0.0010706707238923138,4.428690551393267
production_lateral,4.89,0.00046059967725124734,1.686482093817058e-27,0.00046059967725124734,0.0010199267193086935,4.428690551393267
production_lateral,4.9,0.00043841170918932363,1.2401301588297607e-27,0.00043841170918932363,0.000970794897053465,4.428690551393267
production_lateral,4.91,0.00041695207001702777,9.111676202008895e-28,0.00041695207001702777,0.0009232758464341373,4.428690551393267
production_lateral,4.92,0.00039621927376900986,6.689208926053568e-28,0.00039621927376900986,0.000877366277010358,4.428690551393267
production_lateral,4.93,0.00037621017285232764,4.906781476668226e-28,0.00037621017285232764,0.0008330592189245656,4.428690551393267
production_lateral,4.94,0.0003569200506624726,3.5963681888746606e-28,0.0003569200506624726,0.0007903442279858492,4.428690551393267
production_lateral,4.95,0.000338342715797405,2.6337651805508967e-28,0.000338342715797405,0.0007492075942923524,4.428690551393267
production_lateral,4.96,0.0003204705973395947,1.9272383541248444e-28,0.0003204705973395947,0.0007096325532186097,4.428690551393267
production_lateral,4.97,0.00030329484069713643,1.4090917821103892e-28,0.00030329484069713643,0.000671599497640867,4.428690551393267
production_lateral,4.98,0.00028680540351812733,1.0294105339184095e-28,0.00028680540351812733,0.0006350861903246318,4.428690551393267
production_lateral,4.99,0.00027099115121758874,7.514211380236378e-29,0.00027099115121758874,0.0006000679754542596,4.428690551393267
production_lateral,5.0,0.00025583995168283237,5.480544162606877e-29,0.00025583995168283237,0.0005665179883433348,4.428690551393267
production_lateral,5.01,0.00024133876875120274,3.994012588117171e-29,0.00024133876875120274,0.0005344073624266681,4.428690551393267
production_lateral,5.0200000000000005,0.00022747375408312085,2.908309693810649e-29,0.00022747375408312085,0.0005037054326989364,4.428690551393267
production_lateral,5.03,0.00021423033708321511,2.1160081997215252e-29,0.00021423033708321511,0.0004743799348311147,4.428690551393267
production_lateral,5.04,0.0002015933125526621,1.5382946004096932e-29,0.0002015933125526621,0.0004463971992630221,4.428690551393267
production_lateral,5.05,0.00018954692578654908,1.117396119584432e-29,0.00018954692578654908,0.0004197223396382653,4.428690551393267
production_lateral,5.0600000000000005,0.000178074954860737,8.109989201557192e-30,0.000178074954860737,0.0003943194350157642,4.428690551393267
production_lateral,5.07,0.0001671607898832647,5.881374942976896e-30,0.0001671607898832647,0.0003701517053597247,4.428690551393267
production_lateral,5.08,0.00015678750901546888,4.261700562375142e-30,0.00015678750901546888,0.0003471816798766468,4.428690551393267
production_lateral,5.09,0.00014693795109762197,3.0855491635657177e-30,0.00014693795109762197,0.0003253713578335621,4.428690551393267
production_lateral,5.1000000000000005,0.00013759478474269335,2.2321711118365755e-30,0.00013759478474269335,0.00030468236155547823,4.428690551393267
production_lateral,5.11,0.00012874057378981548,1.6134962853135214e-30,0.00012874057378981548,0.00028507608136195173,4.428690551393267
production_lateral,5.12,0.00012035783903589365,1.1653434254682092e-30,0.00012035783903589365,0.00026651381226218694,4.428690551393267
production_lateral,5.13,0.00011242911618955822,8.409794134113751e-31,0.00011242911618955822,0.0002489568822850961,4.428690551393267
production_lateral,5.14,0.00010493701001605746,6.064043010374424e-31,0.00010493701001605746,0.0002323667723747871,4.428690551393267
production_lateral,5.15,9.786424466477302e-05,4.369026260506472e-31,9.786424466477302e-05,0.00021670522783305958,4.428690551393267
production_lateral,5.16,9.1193710192655e-05,3.1452307365267346e-31,9.1193710192655e-05,0.00020193436133835352,4.428690551393267
production_lateral,5.17,8.490850531696397e-05,2.2623815012595577e-31,8.490850531696397e-05,0.00018801674761508163,4.428690551393267
production_lateral,5.18,7.899197644929313e-05,1.6260153640004874e-31,7.899197644929313e-05,0.00017491550986843197,4.428690551393267
production_lateral,5.19,7.34277530797979e-05,1.1676936609884038e-31,7.34277530797979e-05,0.0001625943981372694,4.428690551393267
production_lateral,5.2,6.819977959596809e-05,8.378739230352697e-32,6.819977959596809e-05,0.0001510178597518836,4.428690551393267
production_lateral,5.21,6.329234363406195e-05,6.007225013376051e-32,6.329234363406195e-05,0.00014015110211385297,4.428690551393267
production_lateral,5.22,5.8690101073557546e-05,4.303428572880148e-32,5.8690101073557546e-05,0.00012996014804239007,4.428690551393267
production_lateral,5.23,5.437809779562713e-05,3.0803550145808533e-32,5.437809779562713e-05,0.00012041188395511646,4.428690551393267
production_lateral,5.24,5.034178833579628e-05,2.2030909147573743e-32,5.034178833579628e-05,0.00011147410117149037,4.428690551393267
production_lateral,5.25,4.6567051568610876e-05,1.5743799147236072e-32,4.6567051568610876e-05,0.00010311553064407499,4.428690551393267
production_lateral,5.26,4.304020356839203e-05,1.124170373152436e-32,4.304020356839203e-05,9.530587143669027e-05,4.428690551393267
production_lateral,5.2700000000000005,3.9748007795030646e-05,8.020477122484021e-33,3.9748007795030646e-05,8.801581327927906e-05,4.428690551393267
production_lateral,5.28,3.667768275736767e-05,5.717599710746668e-33,3.667768275736767e-05,8.121705353727698e-05,4.428690551393267
production_lateral,5.29,3.3816907309056746e-05,4.0726094415682866e-33,3.3816907309056746e-05,7.488230893848076e-05,4.428690551393267
